hs1   0 248956422     72
hs11   0 135086622    3
hs12  0 133275309   57
hs14  0 107043718    9
hs16   0 90338345    9
hs18   0 80373285   8
hs19   0 58617616  15
hs2   0 242193529   4
hs5   0 181538259    5
hs7    0 159345973   9
hs9    0 138394717    7
